rbd;con_copago;solo_hombres;solo_mujeres;lat;lon;prom_lect4b_rbd;prom_mate4b_rbd;missing_prom_lect4b_rbd;missing_prom_mate4b_rbd
8412;0;0;0;-51.731243;-72.496994;248;246;0;0
8413;0;0;0;-51.735889;-72.497765;231;227;0;0
8415;0;0;0;-51.730385;-72.487541;242;230;0;0
8417;0;0;0;-51.721016;-72.496521;236;204;0;0
8420;0;0;0;-51.608013;-72.333633;0;0;1;1
8421;0;0;0;-51.736389;-72.493637;268;263;0;0
8422;0;0;1;-51.727985;-72.504158;285;260;0;0
8433;0;0;0;-53.166027;-70.914131;237;223;0;0
8434;0;0;0;-53.171906;-70.924309;262;249;0;0
8435;0;0;0;-53.165199;-70.929893;240;251;0;0
8436;0;0;0;-53.157337;-70.906639;244;227;0;0
8437;0;0;0;-53.150661;-70.909843;228;214;0;0
8438;0;0;0;-53.159954;-70.897064;260;244;0;0
8439;0;0;0;-53.143795;-70.905128;255;254;0;0
8441;0;0;0;-53.155582;-70.931374;247;244;0;0
8442;0;0;0;-53.141804;-70.903694;261;253;0;0
8448;0;0;0;-53.198296;-70.936951;245;236;0;0
8449;0;0;0;-53.057175;-70.859978;245;246;0;0
8450;0;0;0;-53.09705;-70.879509;251;253;0;0
8452;0;0;0;-53.834995;-70.453369;266;277;0;0
8454;1;1;0;-53.149052;-70.904839;271;270;0;0
8457;1;0;1;-53.15844;-70.901344;280;267;0;0
8458;0;0;0;-53.15807;-70.940384;247;254;0;0
8467;0;0;0;-52.650558;-71.46315;0;0;1;1
8470;0;0;0;-52.315994;-69.689949;281;261;0;0
8475;0;0;0;-53.296082;-70.372086;280;276;0;0
8479;0;0;0;-52.776203;-69.291916;290;273;0;0
8483;0;0;0;-54.934795;-67.605339;273;276;0;0
11678;1;0;0;-53.138691;-70.889114;279;253;0;0
11680;1;0;0;-53.138348;-70.89772;301;293;0;0
11687;0;0;0;-53.147648;-70.927193;234;250;0;0
16895;0;0;0;-53.295303;-70.3675;248;223;0;0
24302;0;0;0;-53.174351;-70.937737;240;225;0;0
24305;1;0;0;-53.168716;-70.915833;267;259;0;0
24307;0;0;0;-53.143112;-70.902222;285;293;0;0
24311;1;0;0;-53.166557;-70.914955;255;244;0;0
24313;0;0;0;-53.124664;-70.879517;283;274;0;0
24317;1;0;0;-51.729656;-72.487511;297;279;0;0
24318;0;0;0;-53.167183;-70.945496;240;242;0;0
24329;1;1;0;-53.161716;-70.911049;271;276;0;0
24334;0;0;0;-53.142548;-70.913261;0;0;1;1
24338;1;0;0;-53.138641;-70.896843;260;259;0;0
