mrun;es_mujer;prioritario;lat_con_error;lon_con_error;rbd;nivel;preferencia_postulante;tipo_prioridad
5283;1;0;-53.164433;-70.916664;24307;-1;1;7
12406;1;1;-51.736465;-72.478722;8422;-1;1;7
18586;1;0;-53.151218;-70.93605;24305;-1;1;7
68038;1;1;-51.732906;-72.517212;8422;-1;1;7
88661;0;0;-53.137505;-70.907845;24307;-1;1;7
125447;1;0;-53.165104;-70.928459;8458;-1;1;7
126238;0;1;-53.162941;-70.91626;11687;-1;1;7
149440;1;0;-51.728592;-72.494652;24317;-1;1;7
161320;0;0;-53.150211;-70.90139;11678;-1;1;7
172515;0;0;-53.295761;-70.367836;16895;-1;1;2
222230;1;0;-53.09808;-70.901054;11680;-1;1;7
284555;1;0;-53.164524;-70.915802;24313;-1;1;7
307440;1;1;-51.733082;-72.516754;8421;-1;1;7
359194;1;0;-53.166225;-70.943275;8458;-1;1;7
379056;1;0;-53.166721;-70.94294;24318;-1;1;7
443134;1;0;-53.164009;-70.918373;8457;-1;1;7
444757;0;0;-53.175579;-70.938713;24305;-1;1;7
451226;1;0;-51.733868;-72.509377;8412;-1;1;2
452098;1;0;-53.131912;-70.870819;24305;-1;1;7
463089;0;0;-53.167534;-70.936874;24329;-1;1;7
468826;0;1;-51.740227;-72.487762;8412;-1;1;7
526488;0;1;-53.333183;-70.050804;8483;-1;1;4
565108;0;0;-53.135426;-70.888908;24329;-1;1;2
596350;1;0;-53.140343;-70.902321;11680;-1;1;7
606372;0;1;-51.733856;-72.51593;8413;-1;1;7
615503;1;1;-53.142216;-70.904922;24307;-1;1;4
636466;0;1;-53.168522;-70.940903;24318;-1;1;2
658517;1;1;-53.166698;-70.940613;24318;-1;1;2
667398;0;0;-53.083878;-70.877312;8449;-1;1;2
672754;0;0;-53.145901;-70.888794;11680;-1;1;7
673405;0;1;-53.152462;-70.943382;8441;-1;1;4
681559;0;0;-53.143116;-70.926743;11680;-1;1;7
693547;1;1;-53.158062;-70.934303;8441;-1;1;7
693593;1;0;-53.147465;-70.925827;24307;-1;1;7
710788;0;1;-51.733234;-72.517479;8417;-1;1;2
729270;0;0;-53.162933;-70.916557;24307;-1;1;7
733805;1;0;-53.163326;-70.918457;11680;-1;1;7
735981;0;1;-51.739838;-72.479988;8412;-1;1;2
823920;0;0;-53.164001;-70.916306;24329;-1;1;2
833458;1;1;-51.739952;-72.486298;8421;-1;1;7
835909;0;0;-53.167244;-70.926323;8435;-1;1;7
859087;1;1;-53.168736;-70.944267;24318;-1;1;2
885452;0;0;-53.162979;-70.917854;24307;-1;1;7
924076;1;0;-53.139481;-70.9049;11680;-1;1;7
936112;0;1;-51.735989;-72.478249;8415;-1;1;7
939474;0;0;-53.166706;-70.949402;24318;-1;1;2
966961;1;0;-53.153629;-70.91021;24318;-1;1;2
993720;1;0;-53.163464;-70.918129;8435;-1;1;2
1005746;1;0;-53.165054;-70.942413;24318;-1;1;2
1021374;0;0;-53.174706;-70.940773;11680;-1;1;7
1066094;0;1;-53.163807;-70.918114;24329;-1;1;4
1091731;1;0;-53.135971;-70.923904;24307;-1;1;2
1100171;1;1;-53.163975;-70.918312;8435;-1;1;7
1129968;0;0;-53.142933;-70.914352;24334;-1;1;7
1139829;0;0;-53.163193;-70.915733;11680;-1;1;7
1159757;1;0;-53.171776;-70.920349;8434;-1;1;7
1230885;1;1;-53.167099;-70.937431;24318;-1;1;2
1232100;0;0;-53.152252;-70.930061;8437;-1;1;5
1249543;1;0;-51.737293;-72.483398;24317;-1;1;7
1256646;0;0;-53.14378;-70.90728;8454;-1;1;7
1258878;1;0;-51.739071;-72.48233;8421;-1;1;7
1268612;1;0;-53.164169;-70.917664;24338;-1;1;2
1301542;1;0;-51.726116;-72.497513;8412;-1;1;5
1324547;0;1;-53.151211;-70.907204;8438;-1;1;2
1326134;0;0;-53.147682;-70.934822;24307;-1;1;7
1360920;0;0;-53.163151;-70.917839;24307;-1;1;2
